Date;Time;Time Zone;Name;Transaction ID;Reference Txn ID;Type;Status;Currency;Gross;Fee;Net;Invoice ID
06/03/2026;12:20:00;GMT;Jürgen Müller;N2D9QMQNH8VUEES5X;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-507782
01/06/2026;08:17:07;GMT;Céline Marchand;ZEW9RTFHKTBFQT5E3;;Website Payment;Completed;GBP;8,99;-0,56;8,43;ORD-502669
01/06/2026;08:35:02;GMT;José García;0DRQ0928NVSA52MA3;;Website Payment;Denied;GBP;4,49;0,00;0,00;ORD-503463
01/06/2026;08:48:13;GMT;Nuño Ibáñez;P54742W2ULA8YDR0L;;Website Payment;Completed;EUR;4,99;-0,49;4,50;ORD-502556
01/06/2026;09:07:25;GMT;Søren Kjær;JR1SUR8G07W17ZPNR;;Website Payment;Completed;EUR;4,99;-0,49;4,50;ORD-502537
01/06/2026;09:12:57;GMT;José García;E71NXM1AA4MGE7K4K;;Website Payment;Denied;EUR;9,99;0,00;0,00;ORD-503683
01/06/2026;09:13:57;GMT;Renée Böhm;9RVGEYXGRR00GPNBJ;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502932
01/06/2026;09:41:25;GMT;Agnès Rousseau;YCC3CE7G9UMRNBSRP;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503843
01/06/2026;09:46:25;GMT;Søren Kjær;SSJ17CPS8897RF1KV;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503528
01/06/2026;10:03:50;GMT;María Álvarez;SPJZ5SBZH0NJF6D7M;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-503665
01/06/2026;10:30:48;GMT;François Dubois;5L09Y5MKL1M88783A;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503515
01/06/2026;10:33:17;GMT;François Dubois;PVCD5SRKD40K95HAD;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503541
01/06/2026;10:44:07;GMT;Søren Kjær;EN34VSM9HH6HRUCWA;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503118
01/06/2026;10:52:17;GMT;Jürgen Müller;29AGL7T6K6YHAYJ62;;Website Payment;Denied;EUR;24,99;0,00;0,00;ORD-503378
01/06/2026;11:23:29;GMT;Émilie Laurent;EFMGKG8577VULML2K;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503730
01/06/2026;11:41:15;GMT;Nuño Ibáñez;X23MHD3RCRRXRRLQL;;Website Payment;Completed;GBP;54,99;-1,89;53,10;ORD-503370
01/06/2026;11:45:00;GMT;José García;7XZLD2R2RCF0KHPC8;;Website Payment;Denied;EUR;4,99;0,00;0,00;ORD-502807
01/06/2026;11:46:12;GMT;María Álvarez;1TSCPA24ZS50MZL42;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-502805
01/06/2026;11:48:24;GMT;Émilie Laurent;P7VW2GWA4RRXML46Z;;Website Payment;Completed;EUR;4,99;-0,49;4,50;ORD-502540
01/06/2026;11:50:26;GMT;Nuño Ibáñez;AVD2YUTYBPT1TE596;;Website Payment;Completed;GBP;21,99;-0,94;21,05;ORD-503841
01/06/2026;12:06:04;GMT;Céline Marchand;TJGVWKEA0VBREL6MT;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502775
01/06/2026;12:07:19;GMT;Émilie Laurent;C57GE0L2GFRQWD3CE;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-503622
01/06/2026;12:24:36;GMT;María Álvarez;GP2CG3SFY31J0AMU4;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502976
01/06/2026;12:26:14;GMT;Søren Kjær;CD9681UCLEPTM98ZE;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502916
01/06/2026;12:26:48;GMT;Renée Böhm;D4THLFSFGXA038T97;;Website Payment;Completed;EUR;59,99;-2,09;57,90;ORD-502477
01/06/2026;12:42:38;GMT;Jürgen Müller;HX2PWPX5UVJTAGVC3;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503355
01/06/2026;12:46:56;GMT;Renée Böhm;LHV6U2FAGUQF9VL5W;;Website Payment;Completed;EUR;24,99;-1,07;23,92;ORD-503713
01/06/2026;13:11:21;GMT;François Dubois;J6MDLX827SF8D6WR2;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502940
01/06/2026;13:15:22;GMT;François Dubois;291D0033BRD52DQ9G;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-503785
01/06/2026;13:22:48;GMT;José García;TTCS5T5A2VCJHPK1K;;Website Payment;Completed;EUR;9,99;-0,64;9,35;ORD-502782
01/06/2026;13:46:11;GMT;Søren Kjær;STTGY72LV4YHCDF1C;;Website Payment;Completed;GBP;21,99;-0,94;21,05;ORD-502244
